date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2008-12-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,144.26,1.93
2008-12-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,394.66,5.28
2008-12-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,237.52,3.18
2009-01-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,41.05,0.55
2009-01-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,156.97,2.1
2009-01-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,173.88,2.33
2009-01-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,168.86,2.26
2009-01-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2191.81,29.32
2009-01-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,145.55,1.95
2009-01-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,394.66,5.28
2009-01-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,237.75,3.18
2009-02-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,41.5,0.56
2009-02-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,156.97,2.1
2009-02-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,175.34,2.35
2009-02-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,169.98,2.28
2009-02-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2200.45,29.48
2009-02-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,146.82,1.97
2009-02-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,394.66,5.29
2009-02-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,237.75,3.18
2009-03-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,41.74,0.55
2009-03-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,159.05,2.11
2009-03-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Maize flour,76,900 G,actual,Retail,AOA,179.03,2.37
2009-03-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,"Rice (regular, milled)",80,900 G,actual,Retail,AOA,170.8,2.26
2009-03-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,milk and dairy,Milk (powder),238,50 Pounds,actual,Retail,AOA,2200.45,29.12
2009-03-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,miscellaneous food,Sugar (white),349,900 G,actual,Retail,AOA,149.18,1.97
2009-03-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (palm),62,L,actual,Retail,AOA,394.66,5.22
2009-03-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,oil and fats,Oil (soybean),306,L,actual,Retail,AOA,238.06,3.15
2009-04-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Bread,55,Unit,actual,Retail,AOA,42,0.56
2009-04-15,Luanda,Luanda,Luanda,2593,-8.84,13.23,cereals and tubers,Cassava flour,74,900 G,actual,Retail,AOA,159.49,2.12
